construct,method,split,decoupling_axis,layer,n,accuracy,mean_signed_probe_score,signed_probe_score_se,direction_accuracy_reference,direction_mean_signed_projection_reference
sentiment,probe,decoupling,contrast,7,12,0.5,-0.039385534822940826,0.10959549391317303,0.3333333333333333,-2.404656618833542
sentiment,probe,decoupling,contrast,8,12,0.5833333333333334,0.03749810655911764,0.10476503866869298,0.3333333333333333,-2.7686455150445304
sentiment,probe,decoupling,contrast,9,12,0.5,0.06523809830347697,0.1289545159068762,0.3333333333333333,-2.6197917188207307
sentiment,probe,decoupling,contrast,10,12,0.6666666666666666,0.10232702891031902,0.1289286067241112,0.25,-2.8086546758810678
sentiment,probe,decoupling,contrast,11,12,0.6666666666666666,0.1194102590282758,0.12098793412104424,0.5833333333333334,-1.6457494894663494
sentiment,probe,decoupling,format_shift,0,12,0.5,1.5993913014729817e-06,0.15075473628548625,0.5833333333333334,0.042737441758314766
sentiment,probe,decoupling,format_shift,1,12,0.5,7.711350917816162e-06,0.15075140646147442,0.5,0.07928026715914409
sentiment,probe,decoupling,format_shift,2,12,0.5,0.00022936860720316568,0.15061445866107626,0.5,0.01955384264389674
sentiment,probe,decoupling,format_shift,3,12,0.5,0.007829988996187845,0.12297283251228151,0.5833333333333334,0.1065419465303421
sentiment,probe,decoupling,format_shift,4,12,0.5,0.027283931771914165,0.10941856227410013,0.5,0.10030946880578995
sentiment,probe,decoupling,format_shift,5,12,0.5,0.053777205447355904,0.11257525658462443,0.5833333333333334,0.09990250319242477
sentiment,probe,decoupling,format_shift,6,12,0.5833333333333334,0.07008730371793111,0.11044311480634424,0.5,0.3598451366027196
sentiment,probe,decoupling,format_shift,7,12,0.6666666666666666,0.09753876427809398,0.09413243173415463,0.5,0.4517888476451238
sentiment,probe,decoupling,format_shift,8,12,0.5833333333333334,0.1312465394536654,0.10431900718943707,0.5833333333333334,1.0618622601032257
sentiment,probe,decoupling,format_shift,9,12,0.6666666666666666,0.14538300037384033,0.08623006152535241,0.5,1.1672960817813873
sentiment,probe,decoupling,format_shift,10,12,0.5,0.12293560802936554,0.0920496745289694,0.5,1.8742914895216625
sentiment,probe,decoupling,format_shift,11,12,0.5833333333333334,0.11810024082660675,0.11182258579387695,0.5,0.868821938832601
