construct,method,baseline_type,split,decoupling_axis,layer,n,accuracy,mean_signed_projection,signed_projection_se
sentiment,direction,shuffled_label_direction,decoupling,negation,6,12,0.5,0.08695295453071594,0.8347420049251406
sentiment,direction,shuffled_label_direction,decoupling,negation,7,12,0.5,-0.1577812929948171,1.2433784857332912
sentiment,direction,shuffled_label_direction,decoupling,negation,8,12,0.5,-0.38775938749313354,2.3299868413532456
sentiment,direction,shuffled_label_direction,decoupling,negation,9,12,0.5,0.8429077863693237,3.5057468290658873
sentiment,direction,shuffled_label_direction,decoupling,negation,10,12,0.5,0.823763370513916,5.87453206112637
sentiment,direction,shuffled_label_direction,decoupling,negation,11,12,0.5,1.3643958171208699,6.318029019556178
sentiment,direction,direction,decoupling,quotation,0,12,0.5,-0.06453710794448853,0.7882903269496164
sentiment,direction,direction,decoupling,quotation,1,12,0.5,-0.10045941670735677,0.7545206972256229
sentiment,direction,direction,decoupling,quotation,2,12,0.5,-0.13834952314694723,0.37768971330722306
sentiment,direction,direction,decoupling,quotation,3,12,0.25,-0.1343788020312786,0.13165335855265914
sentiment,direction,direction,decoupling,quotation,4,12,0.5,-0.16159280637900034,0.4051419076263974
sentiment,direction,direction,decoupling,quotation,5,12,0.5,-0.20693775018056235,0.564628169271093
sentiment,direction,direction,decoupling,quotation,6,12,0.25,-0.8176667292912801,0.9535403688244047
sentiment,direction,direction,decoupling,quotation,7,12,0.4166666666666667,-0.7291395664215088,1.1128056895573937
sentiment,direction,direction,decoupling,quotation,8,12,0.5833333333333334,-0.4677519053220749,0.8463407426333065
sentiment,direction,direction,decoupling,quotation,9,12,0.5833333333333334,1.0389695229629676,1.1344249555891603
sentiment,direction,direction,decoupling,quotation,10,12,0.5,2.640088071425756,1.9920620114660752
sentiment,direction,direction,decoupling,quotation,11,12,0.5,1.589727391799291,3.239412971211667
sentiment,direction,random_direction,decoupling,quotation,0,12,0.5,-0.013193334623672883,0.0684754065583466
sentiment,direction,random_direction,decoupling,quotation,1,12,0.5,0.007116738962992549,0.0612870255599502
sentiment,direction,random_direction,decoupling,quotation,2,12,0.5,-0.03114976367688836,0.2794496337975407
sentiment,direction,random_direction,decoupling,quotation,3,12,0.5,-0.04542314488721095,0.6438527298950718
sentiment,direction,random_direction,decoupling,quotation,4,12,0.5,0.041068332847702005,0.3842601131994186
sentiment,direction,random_direction,decoupling,quotation,5,12,0.5,0.03526698208456428,0.832433539905336
sentiment,direction,random_direction,decoupling,quotation,6,12,0.6666666666666666,0.09685686234332598,1.1764331131108392
sentiment,direction,random_direction,decoupling,quotation,7,12,0.5833333333333334,0.14200398134767145,0.6292546861557119
sentiment,direction,random_direction,decoupling,quotation,8,12,0.5,-0.07089100778044045,0.48741694585112627
sentiment,direction,random_direction,decoupling,quotation,9,12,0.6666666666666666,0.991024307516185,0.7953056641333234
sentiment,direction,random_direction,decoupling,quotation,10,12,0.5,0.5810450812155808,0.9181155115067482
sentiment,direction,random_direction,decoupling,quotation,11,12,0.5,0.2108156153572555,0.8641284386638571
sentiment,direction,shuffled_label_direction,decoupling,quotation,0,12,0.5,-0.01922512489060561,0.8135091312976617
sentiment,direction,shuffled_label_direction,decoupling,quotation,1,12,0.5,-0.013185776770114899,0.8286881575780948
sentiment,direction,shuffled_label_direction,decoupling,quotation,2,12,0.5,-0.0010553821921348572,0.914187137544235
sentiment,direction,shuffled_label_direction,decoupling,quotation,3,12,0.5,0.05741222699483236,0.4322994941489596
sentiment,direction,shuffled_label_direction,decoupling,quotation,4,12,0.5,0.09363052745660146,0.4884060968468382
