construct,method,baseline_type,split,decoupling_axis,layer,alpha,n,mean_raw_logit_shift,mean_abs_raw_logit_shift,mean_signed_logit_shift,mean_steered_signed_logit_diff,mean_kl_divergence
sentiment,direction,shuffled_label_direction,heldout,ordinary,7,3.0,24,-0.024334291617075603,0.0304680069287618,-0.01643429199854533,0.5951866507530212,0.0012032590069187183
sentiment,direction,shuffled_label_direction,heldout,ordinary,8,-3.0,24,0.02081477642059326,0.024100224177042644,0.008760968844095865,0.6203819115956625,0.0010181916125778419
sentiment,direction,shuffled_label_direction,heldout,ordinary,8,-1.0,24,0.0073051055272420245,0.00825806458791097,0.0029567480087280273,0.6145776907602946,0.00011342792155725571
sentiment,direction,shuffled_label_direction,heldout,ordinary,8,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,shuffled_label_direction,heldout,ordinary,8,1.0,24,-0.007662336031595866,0.008476575215657553,-0.0029923121134440103,0.6086286306381226,0.00011370086334257697
sentiment,direction,shuffled_label_direction,heldout,ordinary,8,3.0,24,-0.02403026819229126,0.02606576681137085,-0.009073793888092041,0.6025471488634745,0.0010256099655331734
sentiment,direction,shuffled_label_direction,heldout,ordinary,9,-3.0,24,-0.005599518616994222,0.02114941676457723,-0.0005173087120056152,0.6111036340395609,0.0007564368206658401
sentiment,direction,shuffled_label_direction,heldout,ordinary,9,-1.0,24,-0.0017032225926717122,0.007050514221191406,-0.00013645490010579428,0.6114844878514608,8.387725089657276e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,9,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,shuffled_label_direction,heldout,ordinary,9,1.0,24,0.0015412171681722004,0.007063865661621094,0.00010009606679280599,0.6117210388183594,8.35486055924169e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,9,3.0,24,0.004140218098958333,0.021245161692301433,0.00018906593322753906,0.6118100086847941,0.0007490285812915923
sentiment,direction,shuffled_label_direction,heldout,ordinary,10,-3.0,24,-0.013242979844411215,0.021119217077891033,-0.0014121731122334797,0.6102087696393331,0.0005083593787276186
sentiment,direction,shuffled_label_direction,heldout,ordinary,10,-1.0,24,-0.004360377788543701,0.007004996140797933,-0.0004526178042093913,0.6111683249473572,5.629798518687797e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,10,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,shuffled_label_direction,heldout,ordinary,10,1.0,24,0.0043071309725443525,0.006970028082529704,0.00043346484502156574,0.6120544075965881,5.609354229818564e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,10,3.0,24,0.012760579586029053,0.02080323298772176,0.001246352990468343,0.6128672957420349,0.0005029004629856596
sentiment,direction,shuffled_label_direction,heldout,ordinary,11,-3.0,24,-0.012142817179361979,0.0142366091410319,0.0004169940948486328,0.6120379368464152,0.00038554934023219783
sentiment,direction,shuffled_label_direction,heldout,ordinary,11,-1.0,24,-0.004043877124786377,0.004742364088694255,0.00014171997706095377,0.6117626627286276,4.2822285649890546e-05
sentiment,direction,shuffled_label_direction,heldout,ordinary,11,0.0,24,0.0,0.0,0.0,0.6116209427515665,0.0
sentiment,direction,shuffled_label_direction,heldout,ordinary,11,1.0,24,0.004038870334625244,0.004738787810007731,-0.0001452962557474772,0.6114756464958191,4.274830977616754e-05
